date,code,close,pctChg,a20,a50
2017/11/24,sh.000300,4104.203,0.0441,4081.82475,3962.72306
2017/11/27,sh.000300,4049.947,-1.322,4083.83605,3967.2091
2017/11/28,sh.000300,4055.823,0.1451,4086.29135,3971.56688
2017/11/29,sh.000300,4053.752,-0.0511,4089.14785,3975.7898
2017/11/30,sh.000300,4006.099,-1.1755,4089.5961,3979.31268
2017/12/1,sh.000300,3998.136,-0.1988,4089.86805,3982.64948
2017/12/4,sh.000300,4018.857,0.5183,4089.76645,3986.16378
2017/12/5,sh.000300,4040.17,0.5303,4089.06265,3990.32486
2017/12/6,sh.000300,4015.821,-0.6027,4087.45345,3993.79258
2017/12/7,sh.000300,3971.056,-1.1147,4082.2113,3996.45736
2017/12/8,sh.000300,4003.379,0.814,4076.7847,3999.77034
2017/12/11,sh.000300,4069.499,1.6516,4073.856,4004.8045
2017/12/12,sh.000300,4016.016,-1.3142,4069.68925,4008.7092
2017/12/13,sh.000300,4050.092,0.8485,4068.5104,4013.28704
2017/12/14,sh.000300,4026.151,-0.5911,4064.56735,4017.3593
2017/12/15,sh.000300,3980.855,-1.125,4057.5676,4020.24638
2017/12/18,sh.000300,3985.291,0.1114,4049.6405,4022.30806
2017/12/19,sh.000300,4035.329,1.2556,4040.5219,4025.21738
2017/12/20,sh.000300,4030.489,-0.1199,4030.66805,4027.77344
2017/12/21,sh.000300,4067.848,0.9269,4028.94065,4030.87134
2017/12/22,sh.000300,4054.598,-0.3257,4026.4604,4033.54328
2017/12/25,sh.000300,4041.54,-0.3221,4026.04005,4036.10516
2017/12/26,sh.000300,4053.622,0.2989,4025.93,4038.91624
2017/12/27,sh.000300,3991.207,-1.5397,4022.80275,4039.85714
2017/12/28,sh.000300,4018.897,0.6938,4023.44265,4041.6101
2017/12/29,sh.000300,4030.854,0.2975,4025.07855,4043.69014
2018/1/2,sh.000300,4087.401,1.4029,4028.50575,4046.8222
2018/1/3,sh.000300,4111.392,0.587,4032.06685,4049.86214
2018/1/4,sh.000300,4128.811,0.4237,4037.71635,4052.89938
2018/1/5,sh.000300,4138.75,0.2407,4046.10105,4055.80288
2018/1/8,sh.000300,4160.159,0.5173,4053.94005,4058.56672
2018/1/9,sh.000300,4189.297,0.7004,4059.92995,4062.15824
2018/1/10,sh.000300,4207.813,0.442,4069.5198,4066.18016
2018/1/11,sh.000300,4205.586,-0.0529,4077.2945,4070.35944
2018/1/12,sh.000300,4225.001,0.4616,4087.237,4074.91678
2018/1/15,sh.000300,4225.239,0.0056,4099.4562,4079.56762
2018/1/16,sh.000300,4258.473,0.7866,4113.1153,4084.3193
2018/1/17,sh.000300,4248.116,-0.2432,4123.75465,4088.1967
2018/1/18,sh.000300,4271.416,0.5485,4135.801,4092.66492
2018/1/19,sh.000300,4285.395,0.3273,4146.67835,4096.85484
2018/1/22,sh.000300,4336.597,1.1948,4160.7783,4101.34856
2018/1/23,sh.000300,4382.612,1.0611,4177.8319,4106.43934
2018/1/24,sh.000300,4389.885,0.166,4194.64505,4112.25002
2018/1/25,sh.000300,4365.079,-0.5651,4213.33865,4118.07822
2018/1/26,sh.000300,4381.299,0.3716,4231.45875,4123.60396
2018/1/29,sh.000300,4302.018,-1.8095,4245.01695,4127.22732
2018/1/30,sh.000300,4256.102,-1.0673,4253.452,4129.4727
2018/1/31,sh.000300,4275.898,0.4651,4261.6773,4130.63664
2018/2/1,sh.000300,4245.897,-0.7016,4267.5316,4131.00326
2018/2/2,sh.000300,4271.232,0.5967,4274.1557,4134.37998
2018/2/5,sh.000300,4274.146,0.0682,4279.85505,4137.77884
2018/2/6,sh.000300,4148.885,-2.9307,4277.83445,4139.7576
2018/2/7,sh.000300,4050.497,-2.3714,4269.96865,4139.65108
2018/2/8,sh.000300,4012.047,-0.9493,4260.2917,4138.81698
2018/2/9,sh.000300,3840.652,-4.272,4241.07425,4135.50804
2018/2/12,sh.000300,3890.104,1.2876,4224.3175,4133.3474
2018/2/13,sh.000300,3935.632,1.1704,4208.17545,4131.6829
2018/2/14,sh.000300,3966.961,0.796,4194.1177,4130.21872
2018/2/22,sh.000300,4052.733,2.1622,4183.18355,4130.95696
2018/2/23,sh.000300,4071.088,0.4529,4172.4682,4132.9576
2018/2/26,sh.000300,4118.418,1.1626,4161.55925,4135.25838
2018/2/27,sh.000300,4058.98,-1.4432,4145.37765,4135.048
2018/2/28,sh.000300,4023.641,-0.8706,4127.06545,4135.2005
2018/3/1,sh.000300,4049.086,0.6324,4111.2658,4135.18038
2018/3/2,sh.000300,4016.461,-0.8057,4093.0239,4134.98658
2018/3/5,sh.000300,4018.097,0.0407,4078.82785,4135.73142
2018/3/6,sh.000300,4066.564,1.2062,4069.35095,4137.35688
2018/3/7,sh.000300,4036.653,-0.7355,4057.3887,4137.38336
2018/3/8,sh.000300,4077.6,1.0144,4048.97385,4138.32558
2018/3/9,sh.000300,4108.865,0.7668,4040.8555,4139.14592
2018/3/12,sh.000300,4127.666,0.4576,4033.5315,4140.60728
2018/3/13,sh.000300,4091.253,-0.8822,4030.6499,4141.60154
2018/3/14,sh.000300,4073.344,-0.4377,4031.79225,4141.99598
2018/3/15,sh.000300,4096.162,0.5602,4035.998,4144.09508
2018/3/16,sh.000300,4056.422,-0.9702,4046.7865,4144.84558
2018/3/19,sh.000300,4074.247,0.4394,4055.99365,4145.71344
2018/3/20,sh.000300,4077.704,0.0849,4063.09725,4145.5195
2018/3/21,sh.000300,4061.05,-0.4084,4067.8017,4144.51266
2018/3/22,sh.000300,4020.349,-1.0022,4066.1825,4142.34342
2018/3/23,sh.000300,3904.935,-2.8707,4057.87485,4137.66712
2018/3/26,sh.000300,3879.893,-0.6413,4045.9486,4132.0618
2018/3/27,sh.000300,3913.268,0.8602,4038.663,4126.54122
2018/3/28,sh.000300,3842.715,-1.8029,4029.6167,4119.23926
2018/3/29,sh.000300,3894.049,1.3359,4021.86485,4113.00852
